Company,% Change
Dr. Habeebullah Life,+32.74
Asian Tea Export,+32.67
K P Energy Ltd.,+32.67
Windsor Machines,+32.65
Universal Cables,+32.64
Dilip Buildcon Ltd.,+32.57
Maestros Electronics,+32.53
Linaks Micro Ele,+32.50
Future Retail L,+32.46
Polymechplast Ma,+32.43
Thirumalai Chem.,+32.23
Bajaj Steel Ind.,+32.00
Yash Man.&Satlt.,+31.99
APL Apollo Tubes,+31.96
GMM Pfaudler Ltd,+31.96
Orissa Minerals Deve,+31.87
Wonderla Holidays Lt,+31.83
Acrysil Ltd.,+31.76
JSW Holdings,+31.74
Barak Valley Cements,+31.69
Chaman Lal Setia,+31.66
Paisalo Digital L,+31.64
Classic Global Fin,+31.58
Zee Media Corp,+31.58
Emkay Global Financi,+31.56
Entertainment Networ,+31.52
Capacit'e Infraproje,+31.43
Multibase India Ltd.,+31.28
JHS Svendgaard Labor,+31.27
Jindal Poly Investme,+31.23
Mas Financial Servic,+31.16
Ruchira Papers Ltd.,+31.08
Kimia Biosciences,+31.03
Swelect Energy Syste,+30.90
Rupa & Company L,+30.89
Subros Ltd.,+30.86
Excel Realty N Infra,+30.85
Indian Toners,+30.82
NGL Fine-Chem Li,+30.82
Mirc Electronics,+30.80
Prestige Estates Pro,+30.77
Saint-Gobain Sekurit,+30.74
HB Portfolio,+30.73
NCL Industries,+30.71
Euro Multivision,+30.67
Creative Casting,+30.65
Mewar Hi-Tech Engine,+30.63
Bharat Forge,+30.48
Waa Solar,+30.43
Cinevista L,+30.37
KPR Mill Ltd.,+30.37
Shivam Autotech Ltd.,+30.30
Mukand Ltd.,+30.27
JSW Steel,+30.22
Orient Bell,+30.20
Kriti Nutrients,+30.14
D-Link (India),+30.11
Dhabriya Polywood,+30.09
Anuh Pharma Ltd,+30.02
PNC Infratech,+30.00
Aries Agro Ltd.,+30.00
Zen Technologies Ltd,+29.95
Ganesh Housing,+29.91
Tips Industries,+29.88
Kavita Fabrics Ltd.,+29.87
Future Lifestyle,+29.85
Cholamandalam Financ,+29.84
RCI Industries & Tec,+29.83
Shanthi Gears,+29.82
Alufluoride Ltd.,+29.77
HIL,+29.75
Hitech Corporation,+29.69
Himatsingka Seid,+29.67
Muthoot Capital,+29.62
Automotive Axles,+29.60
B N Rathi Securities,+29.57
Premco Global Li,+29.53
Shaily Engineering P,+29.48
Shree Ganesh Remedie,+29.47
SKM Egg Produc,+29.43
Kaira Can Co.,+29.34
Innovassynth Investm,+29.31
Dwarikesh Sugar,+29.31
Cords Cable Industri,+29.23
Ashiana Housing Ltd.,+29.20
Palred Technologies,+29.17
Patel Integrated Log,+29.05
Jindal Stainless,+29.00
KIFS Financial Serv,+28.98
Kallam Textiles,+28.97
Ishita Drugs & I,+28.91
Essar Securities,+28.87
PVR Ltd.,+28.83
Mehai Technololgy,+28.76
Datamatics Global Se,+28.72
Nila Spaces L,+28.71
DCW Ltd.,+28.66
Inox Wind Ltd.,+28.65
Agarwal Industrial C,+28.56
GOCL Corporation,+28.55
