Company,% Change
Den Networks Ltd.,-3.24
Royal India Corp,-3.23
KRBL Ltd.,-3.18
Capital Trust Lt,-3.17
Bajaj Consumer Care,-3.16
Wipro Ltd,-3.15
Ambuja Cements Ltd.,-3.14
Colgate Palm.,-3.11
Central Bank,-3.07
Surat Textile Mi,-3.07
Pokarna Ltd.,-3.06
Page Industries Ltd.,-3.05
Bhagiradha Chemi,-3.05
Apollo Micro Systems,-3.03
Syngene Internationa,-3.03
Uniply Industries,-2.96
Sayaji Industries,-2.95
AGC Networks,-2.95
JTL Infra L,-2.92
Hariyana Ship-Br,-2.86
Advik Capital,-2.86
Kwality,-2.86
GRP L,-2.86
Dhanuka Agritech Ltd,-2.84
P&G Hygiene&Health,-2.76
Tiger Logistics (Ind,-2.75
Cadila Healthcar,-2.73
Sagar Cements,-2.71
Pioneer Distille,-2.68
Advance Syntex,-2.65
JMT Auto Ltd.,-2.59
Kuber Udyog L,-2.56
Ashnoor Textile,-2.55
Indraprastha Gas Ltd,-2.53
Uttam Galva Steels,-2.51
Capital India Fin,-2.49
Bombay Oxygen Invest,-2.43
Sheela Foam,-2.36
Gokul Agro Resources,-2.33
Bombay Cycle,-2.24
Kuantum Papers,-2.24
Hindustan Unilever L,-2.19
Shree Pushkar Chemic,-2.18
Bil Energy Systems L,-2.15
HCL Technologies,-2.1
Swan Energy Ltd.,-2.09
Shree Pacetronix,-2.08
Ritesh Properties &,-2.08
Hawa Engineers L,-2.08
Optimus Finance,-2.08
FCS Software Sol.Ltd,-2.08
ITC Ltd.,-1.96
Motor & General,-1.95
ABC India Ltd.,-1.93
Rajesh Exports L,-1.93
Cosyn L,-1.92
MphasiS Ltd.,-1.89
Fredun Pharma,-1.89
Nestle India,-1.88
The Indian Wood Prod,-1.86
GujaratStatePetronet,-1.83
Sindhu Trade Links,-1.82
Star Cement,-1.8
Sun Pharma.,-1.78
Bharti Infratel Ltd.,-1.74
Spencer's Retail,-1.73
Pioneer Emb.,-1.73
Photon Capital Advis,-1.72
Escorts Ltd.,-1.72
Starteck Finance,-1.7
Manomay Tex India,-1.66
Uday Jewellery,-1.64
Tata Consultancy,-1.63
J L Morison (India),-1.63
PetronetLNG,-1.62
Greaves Cotton,-1.6
NIIT Technologies,-1.59
Dalmia Bharat L,-1.58
Mallcom (India) L,-1.56
Jai Balaji Industrie,-1.55
Bajaj Auto Ltd.,-1.5
Bharat Petroleum,-1.5
Bharti Airtel,-1.49
Century Extru.,-1.48
MSTC Ltd.,-1.45
SIL Investments Ltd.,-1.43
Dolphin Medical,-1.43
Oil India Ltd.,-1.4
Starline Precious St,-1.38
Shree Digvijay,-1.37
Shiva Cement Ltd,-1.33
Makers Lab.,-1.29
MTNL,-1.29
Reliance Capital,-1.26
Prakash Wool.& Syn.,-1.25
MT Educare Ltd.,-1.24
Bharat Rasayan,-1.22
Jubilant Life Scienc,-1.19
Andhra Paper,-1.16
Britannia Ind.,-1.15
Natco Pharma,-1.14
Simplex Infrastructu,-1.14
Xpro India Ltd.,-1.12
Elegant Marbles,-1.11
Bio Green Papers,-1.1
Kalyani Steel,-1.09
Fortis Malar Hospita,-1.05
Coastal Corporation,-1.04
Just Dial,-1.03
Vishvprabha Ventures,-1.02
Motilal Oswal Financ,-1.01
Veritas (India) Ltd.,-1.0
Websol Energy System,-0.99
Guj. Terce Labor,-0.99
Biocon,-0.94
Prime Securities,-0.93
Clariant Chemicals (,-0.92
Seamec Ltd.,-0.85
Nelco Ltd,-0.85
Matrimony.com,-0.81
Reliance Ind.Inf,-0.79
Vinyoflex Li,-0.78
FACT,-0.74
Prabhat Technologies,-0.73
Borosil Renewables,-0.71
IRB Infrastructure,-0.7
Dhanlaxmi Fabric,-0.66
Godrej Properties Lt,-0.63
Reliance Power L,-0.61
Kemistar Corporation,-0.6
Restile Ceramics,-0.52
Honda India Power,-0.51
Hindoostan Mills,-0.51
Haldyn Glass,-0.5
Ashirwad Capital,-0.5
