Company,% Change
Balmer Lawrie Invest,+1.89
Sita Enterprises,+1.89
Ind-Swift L,+1.88
Chaman Lal Setia,+1.86
VIP Indus.,+1.81
Sandesh,+1.81
KDDL Ltd.,+1.78
Mahindra EPC Irrigat,+1.74
Salona Cotspin L,+1.72
Ratnamani Metals,+1.69
Shriram Trans.Fi,+1.69
Wonderla Holidays Lt,+1.69
Taj GVK Hotels & Res,+1.69
P&G Health,+1.66
Intrasoft Technologi,+1.65
Chandni Textiles Eng,+1.64
Divya Shakthi Gr,+1.63
PDS Multi. Fashions,+1.62
East West Holdings,+1.61
PNB Housing Finance,+1.61
Vanta Bioscience,+1.60
India Tourism De,+1.57
Emami Ltd.,+1.56
Scan Steels,+1.56
LIC Housing Fi,+1.56
Bengal & Assam Compa,+1.55
Grasim Inds.,+1.53
TeamLease Service,+1.51
JMT Auto Ltd.,+1.50
Vedanta,+1.50
National Fittings,+1.50
ARSS Infrastructure,+1.45
Hindalco Indus.,+1.44
Infibeam Avenues,+1.43
Adani Ports & Speci,+1.42
APM Finvest,+1.41
Guj. Hotels Ltd.,+1.40
SNL Bearings Ltd.,+1.40
India Motor Part,+1.39
Harrisons Malaya,+1.38
Godfrey Phillips Ind,+1.35
Ceat Ltd.,+1.35
A & M Febcon,+1.34
Sheela Foam,+1.34
Crane Infrastructure,+1.33
Advani Hotels,+1.31
Liberty Shoes Li,+1.28
Chembond Chemica,+1.28
IndiaNivesh,+1.27
ICICI Bank,+1.27
Apollo Finvest,+1.27
Ace Men Engg Works,+1.25
Winsome Textile,+1.24
Paisalo Digital L,+1.24
Vishwaraj Sugar Ind,+1.24
Gothi Plascon,+1.21
Polycab India,+1.21
Tata Steel,+1.17
Superior Finlease,+1.17
Concord Drugs,+1.15
Pankaj Polymers,+1.15
Marico Ltd.,+1.14
Standard Indust,+1.13
MindTree Ltd.,+1.13
AtlasCycles(Haryana),+1.11
Master Trust Ltd.,+1.11
Crompton Greaves Con,+1.10
Tijaria Polypipes Lt,+1.10
RRIL,+1.09
HDFC,+1.07
Vaarad Ventures,+1.05
Innovative Tech,+1.04
Info Edge (India),+1.00
Ucal Fuel System,+0.99
Phoenix Mills,+0.99
Zee Entertainment En,+0.98
Bharat Agri Fert & R,+0.98
Mewar Hi-Tech Engine,+0.97
Trejhara Solutions L,+0.96
Apollo Hospitals,+0.95
Indo-City Infotech L,+0.92
Rishabh Digha St,+0.91
Somany Home Innovat,+0.91
Transwarranty Financ,+0.89
Vishal Fabrics Ltd.,+0.88
PBM Polytex,+0.82
Mawana Sugars Ltd.,+0.82
JSW Steel,+0.81
Hero MotoCorp,+0.81
Auroma Coke Limi,+0.80
Ram Info,+0.80
Inventure Growth & S,+0.77
IRCTC,+0.69
Arihant Capital,+0.69
Wipro Ltd,+0.69
Pro Fin Capital Serv,+0.68
Phaarmasia Ltd.,+0.68
Tata Consumer Produc,+0.67
HDFC Bank,+0.67
MPS Ltd.,+0.65
VMV Holidays Ltd.,+0.65
5Paisa Capital,+0.65
Voltamp Transformers,+0.63
Prabhat Technologies,+0.63
Grandeur Products,+0.63
Shivalik Bimetal,+0.61
Dixon Technologies,+0.61
Gokul Refoils & Solv,+0.60
Tokyo Plast Inte,+0.58
Talbros Auto.,+0.56
CSL Finance,+0.55
BNK Capital Mark,+0.54
Sahara Housingfina C,+0.53
Elixir Capital,+0.53
Finolex Industri,+0.52
Prataap Snacks,+0.51
Tata Elxsi Ltd.,+0.51
Tainwala Chem.,+0.51
Kernex Microsystems,+0.51
Glenmark Pharma,+0.49
Oricon Enterprises L,+0.49
LG Balakrishnan&Bros,+0.48
Scandent Imaging,+0.48
Riba Textiles Li,+0.48
Fiberweb (India),+0.47
Relaxo Footwears,+0.44
Krypton Ind.,+0.43
Canara Bank,+0.42
Hind. Zinc,+0.42
RDB Realty & Infrast,+0.42
Atul Ltd.,+0.42
Yogi Infra Projects,+0.40
National Alumini,+0.40
King Infra Ventures,+0.39
Mahindra Holidays,+0.39
Kitex Garments,+0.38
Bharat Gears,+0.37
Diana Tea Compan,+0.35
Filatex India,+0.35
Arnold Holdings,+0.34
FAZE THREE Autofab,+0.33
Cosco (India),+0.33
Vivanta Industries,+0.31
CARE Ratings,+0.31
Mahindra Logistics L,+0.30
The Yamuna Syndicate,+0.28
Ritco Logistics,+0.28
Reliance Inds.,+0.27
HT Media,+0.26
Cera Sanitaryware L,+0.25
ICRA Ltd.,+0.25
Intellect Design,+0.24
KPI Global Infra,+0.24
Aditya Birla Capital,+0.24
Riga Sugar Company,+0.23
Sandu Pharmaceut,+0.23
Tata Steel BSL,+0.20
Dutron Polymers,+0.19
Cineline India,+0.18
Varun Beverages Ltd.,+0.16
Brigade Enterprises,+0.15
Tata Consultancy,+0.14
Ujjivan SmallFinance,+0.14
Indian Energy Exchan,+0.13
Denis Chem Lab L,+0.11
Majesco L,+0.11
Expleo Solutions,+0.09
Crisil,+0.08
Panacea Biotec L,+0.05
Cholamandalam Invest,+0.02
Bajaj Electricals,+0.01
