Company,% Change
Chemfab Alkalis,-8.33
Trio Mercantile & Tr,-8.33
Cybermt Infotek,-8.33
Danlaw Technologies,-8.33
Kriti Nutrients,-8.32
Rama Steel Tubes Ltd,-8.3
Pressman Advertising,-8.29
Tera Software,-8.27
Jindal Stainless,-8.25
Aarti Ind. Ltd,-8.22
Cords Cable Industri,-8.2
Brady & Morris E,-8.2
Asian Oilfield S,-8.18
Renaissance Global,-8.17
Hathway Cable & Data,-8.17
Lakshmi Vilas Ba,-8.14
Jetking Infotrain Lt,-8.14
Oceanaa Biotek Ind,-8.14
Hitech Corporation,-8.12
VIP Clothing,-8.11
Emco Ltd.,-8.11
Ortin Laborator.,-8.08
Bharat Seats,-8.07
Nahar Capital & Fina,-8.07
Vinyl Chemicals,-8.06
Manugraph India Ltd.,-8.05
Dhunseri Investments,-8.05
Gallantt Ispat Ltd.,-8.05
Kilitch Drugs(I),-8.04
Deccan Cements,-8.04
Coromandel Internati,-8.04
D & H India,-8.03
Royal Orchid Hotels,-8.03
Shoppers Stop,-8.02
AMJ Land Holdings L,-8.01
Hazoor Multi Project,-8.0
Ambika Cotton Mi,-8.0
Zuari Global,-8.0
IIFL Securities,-8.0
HCL Infosystem,-7.98
Vishnu Chemicals,-7.97
Ashoka Buildcon Ltd.,-7.95
Rane Engine Valve Lt,-7.95
Bombay Cycle,-7.93
Lumax Inds.,-7.92
Grindwell Norton,-7.92
JTEKT India,-7.92
Praj Industries,-7.91
Vascon Engineers Ltd,-7.9
Vikram Thermo (I,-7.9
Alembic Pharmaceutic,-7.9
Inspirisys Solutions,-7.88
Suncare Traders,-7.87
Guj. Sidhee Ceme,-7.87
TAAL Enterprises,-7.86
Jenburkt Pharmac,-7.86
Empire Inds.,-7.84
Onward Technolog,-7.81
Cerebra Integrat,-7.81
Shakti Pumps (In,-7.8
Nandan Denim,-7.79
Raj Television Netwo,-7.79
Gufic BioSciences Lt,-7.78
Elegant Floricul,-7.78
Morarjee Textiles Li,-7.76
Maha. Seamless,-7.75
Linc Pen & Plast,-7.75
Nelcast Ltd.,-7.74
Kanoria Chemical,-7.73
Revathi Equipment Lt,-7.71
Kalyani Steel,-7.71
Signet Industries,-7.71
Gati Ltd.,-7.71
52 Weeks Ent.,-7.69
Reliance Capital,-7.68
Modison Metals L,-7.68
Rashtriya Chemicals,-7.67
India Glycols,-7.66
Indo Tech Transforme,-7.65
Persistent Systems,-7.64
Ajmera Realty & Infr,-7.63
Gokaldas Exports,-7.63
Shreyans Inds.,-7.62
Tejas Networks,-7.62
Nitco Ltd.,-7.62
Vision Corporation,-7.59
Medicamen Biotec,-7.59
Galaxy Surfacta.,-7.58
Natco Pharma,-7.54
Centum Electronics L,-7.53
Setco Automotive,-7.5
Mercator Ltd.,-7.48
Balaji Amines Li,-7.48
Punj Lloyd,-7.47
KIC Metaliks,-7.46
Sangal Papers Li,-7.46
Olectra Greentech,-7.46
Mahindra CIE Auto,-7.45
Choksi Lab. Ltd,-7.43
Lyka Labs,-7.43
Sakthi Sugars,-7.42
Uttam Value Steels,-7.41
Navketan Merchants,-7.41
Cochin Shipyard,-7.4
Subex Ltd.,-7.39
Butterfly Gandhima,-7.39
Shriram A M C,-7.38
Wockhardt Ltd.,-7.38
Punjab Chemicals and,-7.35
Mangalore Refine,-7.34
Diamines & Chem.,-7.34
Leading Leasing Fin,-7.32
Century Enka,-7.3
Bharat Bijlee,-7.29
Sumeet Industrie,-7.28
Rolta India,-7.25
Salzer Electr.,-7.25
Vamshi Rubber Li,-7.24
MEP Infrastructure,-7.24
Super Crop Safe,-7.24
TV18 Broadcast,-7.23
Poly Medicure Lt,-7.23
Tata Chemicals,-7.23
Network 18 Media & I,-7.22
JK Lakshmi Cement L,-7.21
PTC India Financial,-7.2
Zodiac Clothing,-7.18
IDBI Bank Ltd.,-7.17
Ramky Infrastructure,-7.17
Bal Pharma Ltd,-7.17
Oswal Agro Mills,-7.16
Indo Count Inds.,-7.16
Orient Cement Ltd.,-7.16
Gravita India Ltd.,-7.16
Zuari Agro Chemicals,-7.16
Nitin Fire Protectio,-7.14
Rapicut Carbides,-7.14
Suven Life Sciences,-7.14
Skipper Ltd.,-7.14
Simmonds Marshal,-7.14
Bil Energy Systems L,-7.14
Arcee Industries,-7.14
Ducon Infratech,-7.14
Lemon Tree Hotels,-7.13
Welspun Enterprises,-7.13
Suzlon Energy Ltd.,-7.12
Gloster L,-7.12
Country Club Hospita,-7.12
Asso. Alcohols,-7.09
Texmo Pipes & Produc,-7.09
Oriental Veneer,-7.09
Elegant Marbles,-7.08
Kisan Mouldings,-7.07
Jai Balaji Industrie,-7.07
GE Power India,-7.07
U Y Fincorp,-7.05
SV Global Mill Ltd.,-7.04
Sterlite Technologie,-7.02
SinclairsHotels,-7.01
Zim Laboratories,-7.01
Ramkrishna Forgings,-7.0
Intl. Combustion,-6.99
Hindoostan Mills,-6.98
Cybertech System,-6.96
Sterling Tools L,-6.95
Panama Petrochem,-6.95
Phoenix Township,-6.94
Engineers India,-6.93
Jagan Lamps,-6.93
Kajaria Ceramics,-6.93
Sanofi India,-6.91
Quick Heal Technolog,-6.91
Rane Holdings Ltd.,-6.89
Tasty Bite,-6.89
SPML Infra,-6.88
Umang Dairies Ltd.,-6.87
Rico Auto Inds.,-6.86
Lumax Auto Technolog,-6.85
Mangalam Timber,-6.84
Shalimar Paints,-6.84
