Company,% Change
Hindustan Unilever L,+2.21
Siemens Ltd.,+2.21
Cadila Healthcar,+2.20
WPIL Ltd.,+2.20
Novartis,+2.20
HBL Power Systems Lt,+2.19
Karnataka Bank,+2.19
FCS Software Sol.Ltd,+2.17
Shish Industries,+2.17
DHP India Ltd.,+2.17
ICICI Pru Life,+2.14
Hexaware Technologie,+2.14
Narendra Investments,+2.14
Kansai Nerolac Paint,+2.14
HUDCO,+2.13
Dixon Technologies,+2.11
Mangal Credit & Fin,+2.11
Munjal Showa Ltd,+2.11
Godrej Properties Lt,+2.09
Media Matrix Worldwi,+2.08
CCL Products India,+2.07
Tuticorin Alk.,+2.07
Tiger Logistics (Ind,+2.06
JCT Ltd.,+2.06
Maithan Alloys Ltd.,+2.06
Ram Minerals & Chemi,+2.04
TVS Motor Co. Ltd.,+2.03
Johnson Controls-Hit,+2.03
YES Bank Ltd.,+2.02
Hatsun Agro Prod,+2.02
Chandni Textiles Eng,+2.01
Saras.Commercial,+2.00
Artson Engg.,+2.00
Titan Company,+1.99
Escorts Finance,+1.99
Amaze Entertech,+1.99
Ceat Ltd.,+1.98
Regency Investments,+1.98
Source Natural Foods,+1.98
Unique Organics,+1.98
ASM Technologies Ltd,+1.98
Shangar Decor,+1.98
Transglobe Foods,+1.97
Pooja Entertainment,+1.97
Filatex India,+1.97
Ritesh Internati,+1.97
Network Ltd.,+1.97
Maris Spinners L,+1.97
Dr. Habeebullah Life,+1.97
Godrej Consumer Prod,+1.97
Shivalik Bimetal,+1.97
CCL International Lt,+1.96
Infibeam Avenues,+1.96
Aplab,+1.96
Terrascope Ventures,+1.96
AvanceTechnologies,+1.96
Shree Global Tra,+1.95
Praveg Communication,+1.95
Nitta Gelatin India,+1.95
Kunststoffe Inds,+1.95
CHD Chemicals Ltd.,+1.95
Softsol India,+1.95
Niyogin Fintech,+1.94
Prismx Global Ventur,+1.94
Mastek Li,+1.94
PNB Gilts Ltd.,+1.94
Atlas Jewellery,+1.94
Kotak Mahindra Bank,+1.93
Ashok Leyland,+1.92
Acme Resources,+1.92
Modern Insulator,+1.92
Archit Organosys,+1.91
Medico Intercontinen,+1.91
Remsons Industri,+1.90
Banas Finance Lt,+1.90
IykotHitechToolroom,+1.90
Firstobject Technolo,+1.88
Modex Internatio,+1.88
Kirloskar Industries,+1.88
Dhanada Corporation,+1.87
Mishtann Foods L,+1.87
Paushak Ltd.,+1.86
Gabriel India,+1.86
Navkar Corporation L,+1.85
KCP Ltd.,+1.85
Ion Exchange (India),+1.85
Grauer & Weil,+1.85
Gala Global Products,+1.84
Orient Refractories,+1.83
Eicher Motors,+1.83
UFO Moviez India Ltd,+1.83
Tata Elxsi Ltd.,+1.82
Godavari Drugs,+1.82
Nestle India,+1.82
Tirupati Tyres,+1.82
Orbit Exports Li,+1.82
MphasiS Ltd.,+1.81
Universal Office Aut,+1.81
Guj. Amb.Exports,+1.81
Titagarh Wagons Ltd.,+1.81
Lincoln Pharmace,+1.80
HLV L,+1.79
Goodluck India,+1.79
Fredun Pharma,+1.79
Garware Tech. Fibres,+1.79
Guj. Alkalie & C,+1.78
Shyam Century Ferro,+1.78
Super Crop Safe,+1.78
Jagran Prakashan,+1.78
Bombay Cycle,+1.78
Apollo Finvest,+1.78
Megasoft Ltd.,+1.77
Paramount Commun,+1.77
Indo Count Inds.,+1.77
Esab India,+1.77
Guj. Petrosynthe,+1.76
Modison Metals L,+1.75
Krebs Biochemicals &,+1.75
The Hi-Tech Gears,+1.75
Foods & Inns,+1.74
PI Industries,+1.73
Muthoot Finance,+1.73
Bright Brothers,+1.72
Polson Ltd.,+1.72
Asian Hotels (West),+1.71
Syncom Healthcare Lt,+1.71
Action Construction,+1.71
CSB Bank,+1.71
Wardwizard Innovatio,+1.70
Maxgrow India,+1.69
