Company,% Change
Apollo Micro Systems,-2.19
DCM Nouvelle,-2.19
Sahara Housingfina C,-2.19
Aro Granite Indu,-2.18
Zodiac Ventures,-2.18
Aarvee Denims an,-2.17
Digjam L,-2.17
Parle Industries,-2.17
AGC Networks,-2.17
Weizmann,-2.16
Inditrade Capital,-2.15
Bil Energy Systems L,-2.15
Rathi Bars Ltd.,-2.15
Gallantt Ispat Ltd.,-2.14
Suzlon Energy Ltd.,-2.14
Gillette India Ltd.,-2.13
Golden Tobacco Ltd.,-2.13
Sharat Industrie,-2.13
PNB Housing Finance,-2.13
Astron Paper & Board,-2.12
Bhansali Engg.Po,-2.11
Kakatiya Cement Suga,-2.11
Vedavaag Systems,-2.1
Hindoostan Mills,-2.1
Rane Holdings Ltd.,-2.09
Bhartiya Interna,-2.09
Shreyans Inds.,-2.09
Ambika Cotton Mi,-2.09
GE Power India,-2.08
Aster DM Healthcare,-2.07
Investment & Pre,-2.07
Future Lifestyle,-2.07
Karda Constructions,-2.06
Capital Trade Links,-2.05
McDowell Holdings Lt,-2.05
Max Ventures and Ind,-2.05
Sanofi India,-2.04
Surana Solar,-2.04
Wheels India Ltd.,-2.04
Power Mech Projects,-2.03
Vadilal Indus.,-2.01
VLS Finance L,-2.01
Fluidomat,-2.01
Titan Securities,-2.0
Hind Rectifiers,-2.0
Hathway Bhawani Cabl,-2.0
Indsil Hydro Power a,-2.0
Dalal Street Inv,-2.0
Kilpest India Lt,-2.0
GEE Ltd.,-2.0
Best Agrolife,-1.99
Mauria Udyog,-1.99
Bharat Immunolog,-1.99
Superior Industrial,-1.99
Veritas (India) Ltd.,-1.98
Shree Hari Chem.,-1.98
Tata Teleservices (M,-1.98
Maestros Electronics,-1.98
Central Bank,-1.98
Patels Airtemp,-1.98
Network 18 Media & I,-1.97
Mahesh Developers,-1.97
SMS Pharmaceuticals,-1.97
Dhruv Estates Lt,-1.97
Munjal Auto Industr.,-1.96
Prism Medico and Pha,-1.96
Shemaroo Entertainme,-1.96
Chandra Bhagat Pharm,-1.96
Guj. Terce Labor,-1.96
Sai Baba Investment,-1.96
Aayush Food & Herbs,-1.96
A & M Febcon,-1.95
ABM Knowledgeware,-1.95
SKM Egg Produc,-1.95
Eros International M,-1.95
Panchsheel Organ,-1.95
Econo Trade (India),-1.94
Universal Starch,-1.94
Lovable Lingerie Ltd,-1.94
Garden Silk Mill,-1.94
SAB Industries,-1.94
20 Microns Ltd.,-1.94
Shri Niwas Leasing,-1.93
Netripples Software,-1.93
Continental Petr,-1.93
Premier Synth.,-1.92
HSIL Ltd.,-1.92
Suraj Products Ltd.,-1.92
L&T Technology Serv,-1.92
Siddha Ventures Ltd.,-1.91
7NR Retail Ltd.,-1.91
Anjani Foods,-1.91
Panth Infinity,-1.91
Akar Auto Industries,-1.9
Yuken India,-1.9
KMC Speciality Hospi,-1.9
Standard Surfact,-1.9
Asian Tea Export,-1.89
Yash Chemex Ltd.,-1.89
Shilpa Medicare L,-1.88
Welcon International,-1.88
Garware Marine,-1.88
Surya Roshni Ltd,-1.88
Umang Dairies Ltd.,-1.86
Relaxo Footwears,-1.86
Rail Vikas Nigam,-1.86
Waterbase Ltd.,-1.86
BF Investment Ltd.,-1.86
Sanghvi Brands,-1.85
Punjab Chemicals and,-1.85
Ultramarine Pig.,-1.85
MT Educare Ltd.,-1.85
Hasti Finance Li,-1.85
NDTV,-1.84
Oriental Veneer,-1.84
Crompton Greaves Con,-1.84
Nahar Poly Films Ltd,-1.84
Shoppers Stop,-1.84
Datamatics Global Se,-1.83
Control Print Ltd.,-1.83
Just Dial,-1.83
Punj Lloyd,-1.83
J B Chemicals & Phar,-1.83
Universus Photo Imag,-1.82
Oracle Financial Ser,-1.82
Shashijit Infraproje,-1.82
Mangalore Chem.,-1.82
Galaxy Surfacta.,-1.81
PPAP Automotive,-1.81
Eldeco Housing &,-1.81
India Nippon Ele,-1.8
Jai Balaji Industrie,-1.8
Morepen Labs.Lt,-1.8
Trident Texofab,-1.79
Gravita India Ltd.,-1.79
Cybermt Infotek,-1.79
Compucom Softwr,-1.78
Rossari Biotech,-1.76
Tech Mahindra,-1.75
Bombay Burmah,-1.75
Lemon Tree Hotels,-1.75
Windsor Machines,-1.75
Kabra Drugs Ltd.,-1.75
APM Industries,-1.75
KEC International Lt,-1.75
Ajanta Pharma Lt,-1.74
Sobha,-1.73
RBL Bank,-1.73
Rajoo Engineers,-1.73
Suven Life Sciences,-1.71
La Opala RG Ltd.,-1.71
POCL Enterprises,-1.71
Lypsa Gems & Jewell,-1.71
NIIT Technologies,-1.7
Pritika Auto Ind.,-1.7
Yash Pakka,-1.7
HB Estate Devlpr,-1.7
Nitin Castings,-1.7
Panama Petrochem,-1.69
Ester India,-1.69
D B Realty Ltd.,-1.69
GP Petroleums,-1.69
Suryalata Spg.,-1.69
Indbank Merchant,-1.68
Rajapalayam Mill,-1.68
SKIL Infrastructure,-1.67
Ritco Logistics,-1.67
Lotus Eye Hospital,-1.67
AksharChem (India),-1.66
